root,shuffled,id,valid_words,length,Set
done,enod,190,"['done', 'node']",4,SetB
happy,hyapp,191,['happy'],5,SetB
couple,ecpluo,192,['couple'],6,SetB
care,eacr,193,"['acer', 'care', 'race', 'acre']",4,SetB
human,hmanu,194,"['nahum', 'human']",5,SetB
county,nuoyct,195,['county'],6,SetB
week,eekw,196,['week'],4,SetB
cause,eacus,197,"['cause', 'sauce']",5,SetB
player,rapley,198,"['player', 'pearly', 'replay', 'parley']",6,SetB
case,ceas,199,['case'],4,SetB
woman,mnoaw,200,['woman'],5,SetB
happen,happne,201,['happen'],6,SetB
live,viel,202,"['evil', 'veil', 'live']",4,SetB
north,rtohn,203,"['north', 'thorn']",5,SetB
middle,dimdle,204,['middle'],6,SetB
full,lful,205,['full'],4,SetB
watch,ctahw,206,['watch'],5,SetB
higher,hrhieg,207,['higher'],6,SetB
read,daer,208,"['read', 'dare', 'dear']",4,SetB
leave,aelve,209,['leave'],5,SetB
needed,edened,210,['needed'],6,SetB
hard,rdha,211,['hard'],4,SetB
taken,kntae,212,['taken'],5,SetB
result,lrteus,213,"['rustle', 'ulster', 'luster', 'sutler', 'result']",6,SetB
mean,enma,214,"['amen', 'mane', 'mean', 'name']",4,SetB
light,thilg,215,['light'],5,SetB
member,erbmem,216,['member'],6,SetB
four,rfou,217,['four'],4,SetB
short,othrs,218,"['horst', 'short']",5,SetB
design,igneds,219,"['signed', 'design']",6,SetB
once,coen,220,"['once', 'cone']",4,SetB
third,hitrd,221,['third'],5,SetB
answer,ewrsna,222,['answer'],6,SetB
tell,etll,223,['tell'],4,SetB
check,ceckh,224,['check'],5,SetB
policy,lpicyo,225,['policy'],6,SetB
stop,tpos,226,"['spot', 'stop', 'post']",4,SetB
heart,rteah,227,"['herat', 'heart', 'harte', 'earth', 'hater']",5,SetB
longer,orglne,228,['longer'],6,SetB
call,allc,229,['call'],4,SetB
major,rmoja,230,['major'],5,SetB
church,crchuh,231,['church'],6,SetB
head,adhe,232,['head'],4,SetB
phone,oenph,233,['phone'],5,SetB
giving,giivgn,234,['giving'],6,SetB
side,sdei,235,"['side', 'ides']",4,SetB
child,ihcdl,236,['child'],5,SetB
ground,rgdoun,237,['ground'],6,SetB
less,ssel,238,['less'],4,SetB
quite,iueqt,239,"['quiet', 'quite']",5,SetB
source,rsueoc,240,"['crouse', 'source', 'cerous', 'course']",6,SetB
line,lnei,241,"['lien', 'nile', 'line']",4,SetB
works,krwos,242,['works'],5,SetB
follow,wololf,243,['follow'],6,SetB
open,eopn,244,['open'],4,SetB
ready,ardey,245,['ready'],5,SetB
amount,oautnm,246,['amount'],6,SetB
area,aaer,247,"['aare', 'area']",4,SetB
front,fntro,248,['front'],5,SetB
league,ueaelg,249,['league'],6,SetB
kind,inkd,250,"['kind', 'dink']",4,SetB
final,lnaif,251,['final'],5,SetB
review,vwerie,252,"['viewer', 'review']",6,SetB
five,evfi,253,['five'],4,SetB
heard,harde,254,['heard'],5,SetB
august,utagus,255,['august'],6,SetB
face,fcea,256,"['face', 'cafe']",4,SetB
bring,nbirg,257,['bring'],5,SetB
entire,eriten,258,['entire'],6,SetB
hope,hepo,259,['hope'],4,SetB
march,mrcah,260,"['march', 'charm']",5,SetB
turned,entudr,261,['turned'],6,SetB
news,snwe,262,['news'],4,SetB
study,tdyus,263,"['dusty', 'study']",5,SetB
french,hercnf,264,['french'],6,SetB
able,bael,265,"['able', 'bale', 'abel', 'blae']",4,SetB
clear,crela,266,"['clear', 'lacer']",5,SetB
attack,ckatat,267,['attack'],6,SetB
post,ospt,268,"['spot', 'stop', 'post']",4,SetB
words,rodsw,269,"['words', 'sword']",5,SetB
simple,spilme,270,['simple'],6,SetB
book,okbo,271,"['kobo', 'book']",4,SetB
month,tnmho,272,['month'],5,SetB
choice,ichceo,273,"['echoic', 'choice']",6,SetB
talk,latk,274,['talk'],4,SetB
field,liefd,275,['field'],5,SetB
simply,ipylsm,276,['simply'],6,SetB
half,fhla,277,['half'],4,SetB
board,bador,278,"['broad', 'board', 'dobra']",5,SetB
modern,dmenor,279,['modern'],6,SetB
hand,nahd,280,['hand'],4,SetB
space,pcesa,281,"['space', 'scape']",5,SetB
career,rracee,282,['career'],6,SetB
mind,midn,283,['mind'],4,SetB
fight,ihgft,284,['fight'],5,SetB
figure,uregif,285,['figure'],6,SetB
fact,tcfa,286,['fact'],4,SetB
issue,siuse,287,['issue'],5,SetB
forget,egtrfo,288,['forget'],6,SetB
true,ture,289,['true'],4,SetB
force,ocref,290,['force'],5,SetB
listen,nietsl,291,"['enlist', 'tinsel', 'listen', 'silent']",6,SetB
food,doof,292,['food'],4,SetB
price,pcrei,293,['price'],5,SetB
access,seascc,294,['access'],6,SetB
body,ydbo,295,['body'],4,SetB
total,tolat,296,['total'],5,SetB
recent,ernect,297,"['tenrec', 'center', 'recent']",6,SetB
lost,slot,298,"['slot', 'lost']",4,SetB
above,vobae,299,['above'],5,SetB
seeing,eegisn,300,['seeing'],6,SetB
room,omro,301,"['moor', 'room', 'moro']",4,SetC
share,sareh,302,"['share', 'shear']",5,SetC
europe,poreeu,303,['europe'],6,SetC
girl,iglr,304,['girl'],4,SetC
sense,snsee,305,"['essen', 'sense']",5,SetC
growth,gorwht,306,['growth'],6,SetC
nice,einc,307,['nice'],4,SetC
april,lpira,308,"['pilar', 'april']",5,SetC
moving,mvigno,309,['moving'],6,SetC
past,atsp,310,"['past', 'spat', 'taps']",4,SetC
event,tvene,311,['event'],5,SetC
charge,ghreac,312,['charge'],6,SetC
idea,ieda,313,"['aide', 'idea']",4,SetC
break,earkb,314,"['baker', 'break', 'brake']",5,SetC
weight,ghiwet,315,['weight'],6,SetC
move,oemv,316,['move'],4,SetC
guess,uessg,317,['guess'],5,SetC
effect,etffec,318,['effect'],6,SetC
wait,iwta,319,['wait'],4,SetC
learn,enrla,320,['learn'],5,SetC
create,tarece,321,"['cerate', 'create', 'ecarte']",6,SetC
late,atle,322,"['tael', 'teal', 'late']",4,SetC
alone,eoanl,323,['alone'],5,SetC
double,uobdle,324,['double'],6,SetC
data,taad,325,['data'],4,SetC
worth,whtor,326,"['throw', 'worth']",5,SetC
normal,rnlmao,327,"['molnar', 'normal']",6,SetC
stay,atsy,328,['stay'],4,SetC
press,spser,329,['press'],5,SetC
island,indlsa,330,['island'],6,SetC
soon,oons,331,['soon'],4,SetC
hands,ahdsn,332,['hands'],5,SetC
expect,eecptx,333,['expect'],6,SetC
turn,nrtu,334,"['runt', 'turn']",4,SetC
movie,vomie,335,['movie'],5,SetC
female,mlefea,336,['female'],6,SetC
deal,ldea,337,"['dale', 'deal', 'lead', 'leda']",4,SetC
sound,douns,338,['sound'],5,SetC
credit,ceditr,339,"['credit', 'direct']",6,SetC
form,orfm,340,['form'],4,SetC
value,lvaeu,341,"['uveal', 'value']",5,SetC
travel,vetalr,342,['travel'],6,SetC
fire,iref,343,['fire'],4,SetC
round,ourdn,344,['round'],5,SetC
region,gornei,345,"['region', 'origen', 'ignore']",6,SetC
easy,aeys,346,"['eyas', 'easy']",4,SetC
stand,dsnta,347,['stand'],5,SetC
minute,umniet,348,"['minuet', 'minute']",6,SetC
near,aern,349,"['near', 'earn']",4,SetC
stuff,tfsuf,350,['stuff'],5,SetC
beyond,ebodny,351,['beyond'],6,SetC
west,setw,352,"['stew', 'west']",4,SetC
green,egrne,353,"['green', 'genre']",5,SetC
nature,anurte,354,['nature'],6,SetC
plan,lnap,355,['plan'],4,SetC
drive,vreid,356,"['verdi', 'drive', 'diver']",5,SetC
posted,ptdose,357,['posted'],6,SetC
list,slti,358,"['silt', 'list', 'slit']",4,SetC
model,leomd,359,['model'],5,SetC
safety,afsyte,360,['safety'],6,SetC
type,ytpe,361,['type'],4,SetC
match,ctmha,362,['match'],5,SetC
canada,naaacd,363,['canada'],6,SetC
meet,etme,364,"['teem', 'meet']",4,SetC
trust,rtuts,365,"['trust', 'strut']",5,SetC
income,onciem,366,['income'],6,SetC
song,osgn,367,"['snog', 'song']",4,SetC
trade,etdra,368,"['tread', 'trade']",5,SetC
search,seacrh,369,"['eschar', 'search', 'chaser']",6,SetC
baby,byba,370,['baby'],4,SetC
range,eanrg,371,"['anger', 'range']",5,SetC
friday,ariydf,372,['friday'],6,SetC
word,wdor,373,['word'],4,SetC
chief,cheif,374,['chief'],5,SetC
global,gbllao,375,['global'],6,SetC
self,esfl,376,['self'],4,SetC
style,ystle,377,['style'],5,SetC
german,anremg,378,"['engram', 'german', 'manger']",6,SetC
main,inam,379,['main'],4,SetC
lower,owrel,380,"['lower', 'rowel']",5,SetC
letter,tteerl,381,['letter'],6,SetC
held,edlh,382,['held'],4,SetC
stage,easgt,383,"['stage', 'gates']",5,SetC
leader,elaerd,384,"['leader', 'dealer']",6,SetC
road,daro,385,"['road', 'orad']",4,SetC
china,cahin,386,"['chain', 'chian', 'china']",5,SetC
sister,sestir,387,"['resist', 'sister']",6,SetC
town,ntow,388,['town'],4,SetC
blood,lbodo,389,['blood'],5,SetC
author,atrohu,390,['author'],6,SetC
cost,tocs,391,"['scot', 'cost']",4,SetC
title,etilt,392,['title'],5,SetC
annual,nunala,393,['annual'],6,SetC
fine,einf,394,['fine'],4,SetC
enjoy,onyje,395,['enjoy'],5,SetC
battle,lbeatt,396,"['tablet', 'battle']",6,SetC
rest,rset,397,['rest'],4,SetC
super,pusre,398,"['purse', 'sprue', 'super']",5,SetC
degree,deeger,399,['degree'],6,SetC
term,ertm,400,['term'],4,SetC
legal,legla,401,['legal'],5,SetC
france,enrcfa,402,['france'],6,SetC
wife,wfie,403,['wife'],4,SetC
union,innou,404,['union'],5,SetC
active,itecav,405,['active'],6,SetC
hear,areh,406,"['hare', 'rhea', 'hear', 'hera']",4,SetC
seven,esnev,407,['seven'],5,SetC
cancer,craecn,408,['cancer'],6,SetC
shot,hsto,409,"['host', 'shot']",4,SetC
cover,corve,410,['cover'],5,SetC
master,smraet,411,"['martes', 'master', 'stream']",6,SetC
miss,imss,412,['miss'],4,SetC
staff,aftsf,413,['staff'],5,SetC
wonder,woedrn,414,['wonder'],6,SetC
date,deta,415,['date'],4,SetC
crazy,ycraz,416,['crazy'],5,SetC
russia,usrais,417,['russia'],6,SetC
site,etis,418,['site'],4,SetC
built,btlui,419,['built'],5,SetC
secret,erctse,420,"['resect', 'secret']",6,SetC
land,daln,421,['land'],4,SetC
daily,aildy,422,"['lydia', 'daily']",5,SetC
latest,stleat,423,['latest'],6,SetC
eyes,seey,424,['eyes'],4,SetC
voice,voiec,425,['voice'],5,SetC
senior,sieron,426,['senior'],6,SetC
june,nuje,427,['june'],4,SetC
paper,papre,428,['paper'],5,SetC
effort,fertof,429,['effort'],6,SetC
lead,aeld,430,"['dale', 'deal', 'lead', 'leda']",4,SetC
parts,asptr,431,"['sprat', 'parts', 'strap']",5,SetC
spring,sngpir,432,['spring'],6,SetC
club,lucb,433,['club'],4,SetC
earth,earht,434,"['heart', 'herat', 'harte', 'earth', 'hater']",5,SetC
impact,atcpmi,435,['impact'],6,SetC
film,lfim,436,['film'],4,SetC
below,oewbl,437,"['elbow', 'below']",5,SetC
africa,faiarc,438,['africa'],6,SetC
dead,edad,439,"['dead', 'edda']",4,SetC
table,etbla,440,"['bleat', 'table']",5,SetC
sunday,audnsy,441,['sunday'],6,SetC
test,stte,442,"['stet', 'test']",4,SetC
truth,uthtr,443,['truth'],5,SetC
direct,dicrte,444,"['credit', 'direct']",6,SetC
view,weiv,445,"['view', 'wive']",4,SetC
offer,roffe,446,['offer'],5,SetC
indian,anidni,447,['indian'],6,SetC
hold,ohld,448,['hold'],4,SetC
sleep,epsel,449,['sleep'],5,SetC
easily,selaiy,450,['easily'],6,SetC
star,rtsa,451,['star'],4,SetD
visit,isvit,452,"['visit', 'vitis']",5,SetD
finish,hisnif,453,['finish'],6,SetD
hour,uhor,454,['hour'],4,SetD
piece,eeipc,455,['piece'],5,SetD
choose,ocseho,456,['choose'],6,SetD
wish,hswi,457,['wish'],4,SetD
india,ndiai,458,['india'],5,SetD
closed,dcoesl,459,['closed'],6,SetD
gone,goen,460,['gone'],4,SetD
build,iuldb,461,['build'],5,SetD
damage,gdaeam,462,"['dagame', 'damage']",6,SetD
gold,dlgo,463,['gold'],4,SetD
river,errvi,464,['river'],5,SetD
doctor,oroctd,465,['doctor'],6,SetD
king,gikn,466,['king'],4,SetD
speak,sepka,467,['speak'],5,SetD
notice,ctenio,468,['notice'],6,SetD
july,luyj,469,['july'],4,SetD
write,wietr,470,['write'],5,SetD
highly,yhhgli,471,['highly'],6,SetD
east,ates,472,"['seta', 'east', 'seat']",4,SetD
eight,iegth,473,['eight'],5,SetD
winter,rteinw,474,"['twiner', 'winter']",6,SetD
sent,sten,475,"['sent', 'nest']",4,SetD
funny,ufnny,476,['funny'],5,SetD
broken,ekronb,477,['broken'],6,SetD
bank,bnak,478,['bank'],4,SetD
track,krcta,479,['track'],5,SetD
theory,eoytrh,480,['theory'],6,SetD
role,oerl,481,"['lore', 'role']",4,SetD
album,buaml,482,['album'],5,SetD
advice,caedvi,483,['advice'],6,SetD
park,rkpa,484,['park'],4,SetD
peace,eacep,485,['peace'],5,SetD
nation,iatonn,486,"['anoint', 'nation']",6,SetD
cool,olco,487,['cool'],4,SetD
store,orets,488,['store'],5,SetD
camera,recmaa,489,['camera'],6,SetD
bill,ibll,490,['bill'],4,SetD
brown,bwron,491,['brown'],5,SetD
agency,ycgane,492,"['cagney', 'agency']",6,SetD
save,esva,493,"['save', 'aves', 'vase']",4,SetD
moved,omevd,494,['moved'],5,SetD
status,sutsat,495,['status'],6,SetD
rate,rtea,496,"['rate', 'tare', 'tera', 'tear']",4,SetD
ahead,hadae,497,['ahead'],5,SetD
murder,eurrdm,498,['murder'],6,SetD
fast,fsta,499,['fast'],4,SetD
radio,oaird,500,"['radio', 'aroid']",5,SetD
flight,tlgifh,501,['flight'],6,SetD
blue,eblu,502,"['bleu', 'blue']",4,SetD
allow,olwla,503,['allow'],5,SetD
coffee,eeffoc,504,['coffee'],6,SetD
size,ezsi,505,['size'],4,SetD
cross,cssor,506,['cross'],5,SetD
actual,lacatu,507,['actual'],6,SetD
step,setp,508,"['pest', 'step']",4,SetD
loved,levod,509,['loved'],5,SetD
mobile,ielmob,510,['mobile'],6,SetD
fall,lfal,511,['fall'],4,SetD
speed,psdee,512,['speed'],5,SetD
opened,nedoep,513,['opened'],6,SetD
felt,telf,514,"['left', 'felt']",4,SetD
focus,scouf,515,['focus'],5,SetD
placed,dpacle,516,['placed'],6,SetD
paid,aidp,517,['paid'],4,SetD
extra,aexrt,518,"['taxer', 'extra']",5,SetD
signed,edsign,519,"['signed', 'design']",6,SetD
page,gpea,520,"['page', 'gape']",4,SetD
quick,kcuqi,521,['quick'],5,SetD
eating,itagen,522,['eating'],6,SetD
vote,vteo,523,"['vote', 'veto']",4,SetD
clean,clnae,524,"['lance', 'clean']",5,SetD
screen,eencsr,525,"['screen', 'censer']",6,SetD
hate,htae,526,"['thea', 'hate', 'heat']",4,SetD
scene,eecsn,527,"['cense', 'scene']",5,SetD
speech,scephe,528,['speech'],6,SetD
send,ndse,529,['send'],4,SetD
agree,raeeg,530,"['agree', 'eager', 'gerea']",5,SetD
appear,praaep,531,['appear'],6,SetD
hell,lehl,532,['hell'],4,SetD
spend,nsepd,533,['spend'],5,SetD
accept,ctapec,534,['accept'],6,SetD
lord,lrod,535,['lord'],4,SetD
heavy,ahyev,536,['heavy'],5,SetD
bottom,omtbto,537,['bottom'],6,SetD
damn,dnma,538,['damn'],4,SetD
coach,cchao,539,['coach'],5,SetD
square,saequr,540,['square'],6,SetD
poor,opor,541,['poor'],4,SetD
train,tnari,542,['train'],5,SetD
raised,sdiaer,543,['raised'],6,SetD
born,nrob,544,"['born', 'brno']",4,SetD
costs,tscos,545,"['scots', 'costs']",5,SetD
agreed,eegadr,546,"['dragee', 'geared', 'agreed']",6,SetD
walk,klwa,547,['walk'],4,SetD
claim,ialcm,548,['claim'],5,SetD
demand,enmdad,549,"['demand', 'madden', 'damned']",6,SetD
pick,ikcp,550,['pick'],4,SetD
hotel,othel,551,['hotel'],5,SetD
engine,enieng,552,['engine'],6,SetD
hair,iahr,553,['hair'],4,SetD
judge,ejudg,554,['judge'],5,SetD
mental,nemlat,555,"['mental', 'mantel', 'lament', 'mantle']",6,SetD
door,odro,556,['door'],4,SetD
reach,hcear,557,['reach'],5,SetD
fourth,trufoh,558,['fourth'],6,SetD
code,oedc,559,"['code', 'deco']",4,SetD
floor,forlo,560,['floor'],5,SetD
forced,ecfdor,561,['forced'],6,SetD
sign,ngis,562,"['sing', 'sign']",4,SetD
image,iameg,563,['image'],5,SetD
remain,mriaen,564,"['mainer', 'remain', 'marine']",6,SetD
race,reca,565,"['acer', 'care', 'race', 'acre']",4,SetD
brain,arnib,566,"['brain', 'bairn']",5,SetD
acting,acgitn,567,['acting'],6,SetD
lose,sole,568,"['sloe', 'lose', 'sole']",4,SetD
worst,wsort,569,['worst'],5,SetD
sexual,lsueax,570,['sexual'],6,SetD
seem,seme,571,['seem'],4,SetD
civil,civli,572,['civil'],5,SetD
target,regtta,573,['target'],6,SetD
safe,afse,574,['safe'],4,SetD
stock,kcsot,575,['stock'],5,SetD
estate,aestte,576,['estate'],6,SetD
loss,sols,577,['loss'],4,SetD
dance,nedac,578,"['dance', 'acned']",5,SetD
budget,etdgbu,579,['budget'],6,SetD
huge,geuh,580,['huge'],4,SetD
beach,echab,581,['beach'],5,SetD
silver,ersvli,582,"['silver', 'sliver']",6,SetD
okay,ayok,583,['okay'],4,SetD
color,coorl,584,['color'],5,SetD
animal,mlaian,585,"['animal', 'malian', 'lamina', 'manila']",6,SetD
goal,galo,586,['goal'],4,SetD
grand,ardng,587,['grand'],5,SetD
spread,dpsear,588,['spread'],6,SetD
ways,awsy,589,"['sway', 'yaws', 'ways']",4,SetD
sweet,tsewe,590,['sweet'],5,SetD
memory,ommyer,591,['memory'],6,SetD
army,myra,592,"['army', 'mary']",4,SetD
touch,thuco,593,"['touch', 'couth']",5,SetD
supply,slpupy,594,['supply'],6,SetD
deep,dpee,595,['deep'],4,SetD
dream,mraed,596,"['dream', 'armed']",5,SetD
prison,sonrpi,597,['prison'],6,SetD
base,ebsa,598,['base'],4,SetD
drink,irdnk,599,['drink'],5,SetD
window,inwowd,600,['window'],6,SetD
